Moive_ID,Name,Genre,Showing,Year,IMDB,Description,Time
29,Sonic the Hedgehog,Action. Adventure. Comedy,1,2020,6.6,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",1h 39min
30,Frozen II,Animation. Adventure. Comedy,0,2019,7,,
31,The Lion King,Animation. Adventure. Drama,0,2019,6.9,,
32,Inception,Action. Adventure. Sci-Fi,0,2010,8.8,,
33,My Spy,Action. Comedy. Family,0,2020,6.1,,
34,Good Boys,Adventure. Comedy,0,2019,6.7,,
35,The Irishman,Biography. Crime. Drama,0,2019,7.9,,
36,The Call of the Wild,Adventure. Drama. Family,1,2020,6.8,A sled dog struggles for survival in the wilds of the Yukon.,1h 40min
37,Rocketman,Biography. Drama. Music,0,2019,7.3,,
38,The Perks of Being a Wallflower,Drama. Romance,0,2012,8,,
39,Bombshell,Biography. Drama,0,2019,6.8,,
40,Cats,Comedy. Drama. Family,0,2019,2.7,,
41,Molly's Game,Biography. Crime. Drama,0,2017,7.4,,
42,The Way Back,Drama. Sport,1,2020,6.8,"Jack Cunningham was an HS basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",1h 48min
43,Interstellar,Adventure. Drama. Sci-Fi,0,2014,8.6,,
44,6 Underground,Action. Comedy. Thriller,0,2019,6.1,,
45,Zombieland: Double Tap,Action. Comedy. Horror,0,2019,6.8,,
46,Mad Max: Fury Road,Action. Adventure. Sci-Fi,0,2015,8.1,,
47,Just Mercy,Biography. Crime. Drama,0,2019,7.5,,
48,Hustlers,Comedy. Crime. Drama,0,2019,6.3,,
49,Doctor Sleep,Drama. Fantasy. Horror,0,2019,7.4,,
50,Aladdin,Adventure. Family. Fantasy,0,2019,7,,
51,Fast & Furious Presents: Hobbs & Shaw,Action. Adventure,0,2019,6.5,,
52,The Lighthouse,Drama. Fantasy. Horror,0,2019,7.6,,
53,The Roommate,Drama. Mystery. Thriller,0,2011,4.8,,
54,Toy Story 4,Animation. Adventure. Comedy,0,2019,7.8,,
55,A Quiet Place,Drama. Horror. Sci-Fi,0,2018,7.5,,
56,Midway,Action. Drama. History,0,2019,6.7,,
57,Black Panther,Action. Adventure. Sci-Fi,0,2018,7.3,,
58,Blade Runner 2049,Action. Drama. Mystery,0,2017,8,,
59,Green Book,Biography. Comedy. Drama,0,2018,8.2,,
60,Avengers: Infinity War,Action. Adventure. Sci-Fi,0,2018,8.5,,
61,The Social Network,Biography. Drama,0,2010,7.7,,
62,I Still Believe,Drama. Music. Romance,1,2020,6.5,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,1h 56min
63,The Greatest Showman,Biography. Drama. Musical,0,2017,7.6,,
64,The Dark Knight Rises,Action. Adventure,0,2012,8.4,,
65,Spider-Man: Far from Home,Action. Adventure. Sci-Fi,0,2019,7.5,,
66,Thor: Ragnarok,Action. Adventure. Comedy,0,2017,7.9,,
67,Yesterday,Comedy. Fantasy. Music,0,2019,6.8,,
68,Brahms: The Boy II,Drama. Horror. Mystery,0,2020,4.5,,
69,The Wolf of Wall Street,Biography. Crime. Drama,0,2013,8.2,,
70,Trolls,Animation. Adventure. Comedy,0,2016,6.5,,
71,Charlie's Angels,Action. Adventure. Comedy,0,2019,4.6,,
72,Captain Marvel,Action. Adventure. Sci-Fi,0,2019,6.9,,
73,Gone Girl,Drama. Mystery. Thriller,0,2014,8.1,,
74,Marriage Story,Comedy. Drama. Romance,0,2019,8,,
75,The Rhythm Section,Action. Drama. Mystery,0,2020,5.2,,
76,X-Men: Dark Phoenix,Action. Adventure. Sci-Fi,0,2019,5.8,,
77,After,Drama. Romance,0,2019,5.4,,
78,I See You,Crime. Drama. Horror,0,2019,6.7,,
79,Guardians of the Galaxy,Action. Adventure. Comedy,0,2014,8,,
80,Captain America: The First Avenger,Action. Adventure. Sci-Fi,0,2011,6.9,,
81,Alita: Battle Angel,Action. Adventure. Sci-Fi,0,2019,7.3,,
82,Terminator: Dark Fate,Action. Adventure. Sci-Fi,0,2019,6.3,,
83,The Banker,Drama,0,2020,7.2,,
84,John Wick: Chapter 3 - Parabellum,Action. Crime. Thriller,0,2019,7.5,,
85,We Summon the Darkness,Horror. Thriller,0,2019,5.2,,
86,Richard Jewell,Biography. Crime. Drama,0,2019,7.5,,
87,Prisoners,Crime. Drama. Mystery,0,2013,8.1,,
88,Suicide Squad,Action. Adventure. Fantasy,0,2016,6,,
89,Spies in Disguise,Animation. Action. Adventure,0,2019,6.8,,
90,It Chapter Two,Drama. Fantasy. Horror,0,2019,6.6,,
91,It,Horror,0,2017,7.3,,
92,Jumanji: Welcome to the Jungle,Action. Adventure. Comedy,0,2017,6.9,,
93,Fifty Shades of Grey,Drama. Romance. Thriller,0,2015,4.1,,
94,Skyfall,Action. Adventure. Thriller,0,2012,7.7,,
95,Lost Girls,Drama. Mystery. Thriller,0,2020,6.1,,
96,Jay and Silent Bob Reboot,Comedy,0,2019,5.8,,
97,The Other Lamb,Drama. Horror,0,2019,5,,
98,Sea Fever,Horror. Sci-Fi,0,2019,5.7,,
99,Deadpool,Action. Adventure. Comedy,0,2016,8,,
100,Guardians of the Galaxy Vol. 2,Action. Adventure. Comedy,0,2017,7.6,,
101,Fighting with My Family,Biography. Comedy. Drama,0,2019,7.1,,
102,Shutter Island,Mystery. Thriller,0,2010,8.1,,
103,The Hunger Games,Action. Adventure. Sci-Fi,0,2012,7.2,,
104,Bohemian Rhapsody,Biography. Drama. Music,0,2018,8,,
105,Dark Waters,Biography. Drama. History,0,2019,7.6,,
106,Never Rarely Sometimes Always,Drama,1,2020,7.2,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,1h 41min
107,Hereditary,Drama. Horror. Mystery,0,2018,7.3,,
108,Baywatch,Action. Comedy. Crime,0,2017,5.5,,
109,Harry Potter and the Deathly Hallows: Part 2,Adventure. Drama. Fantasy,0,2011,8.1,,
110,Mission: Impossible - Fallout,Action. Adventure. Thriller,0,2018,7.7,,
111,Thor,Action. Adventure. Fantasy,0,2011,7,,
112,Verotika,Horror,0,2019,1.9,,
113,The Avengers,Action. Adventure. Sci-Fi,0,2012,8,,
114,Blow the Man Down,Comedy. Drama. Mystery,0,2019,6.4,,
115,Booksmart,Comedy,0,2019,7.2,,
116,Baby Driver,Action. Crime. Drama,0,2017,7.6,,
117,Spider-Man: Into the Spider-Verse,Animation. Action. Adventure,0,2018,8.4,,
118,Dunkirk,Action. Drama. History,0,2017,7.9,,
119,The Healer,Comedy. Drama. Family,0,2017,6.2,,
120,Ready or Not,Comedy. Horror. Mystery,0,2019,6.8,,
121,Django Unchained,Drama. Western,0,2012,8.4,,
122,The King,Biography. Drama. History,0,2019,7.3,,
123,Avengers: Age of Ultron,Action. Adventure. Sci-Fi,0,2015,7.3,,
124,Super 8,Action. Mystery. Sci-Fi,0,2011,7,,
125,Godzilla: King of the Monsters,Action. Adventure. Fantasy,0,2019,6.1,,
126,Star Wars: Episode VIII - The Last Jedi,Action. Adventure. Fantasy,0,2017,7,,
127,A Simple Favor,Comedy. Crime. Drama,0,2018,6.8,,
128,Lady Bird,Comedy. Drama,0,2017,7.4,,
129,Solo: A Star Wars Story,Action. Adventure. Sci-Fi,0,2018,6.9,,
130,Ad Astra,Adventure. Drama. Mystery,0,2019,6.6,,
131,Men in Black: International,Action. Adventure. Comedy,0,2019,5.7,,
132,Annihilation,Adventure. Drama. Horror,0,2018,6.9,,
133,The Big Short,Biography. Comedy. Drama,0,2015,7.8,,
134,Moana,Animation. Adventure. Comedy,0,2016,7.6,,
135,Shazam!,Action. Adventure. Comedy,0,2019,7.1,,
136,Aquaman,Action. Adventure. Fantasy,0,2018,7,,
137,Deadpool 2,Action. Adventure. Comedy,0,2018,7.7,,
138,Lion,Biography. Drama,0,2016,8,,
139,John Wick,Action. Crime. Thriller,0,2014,7.4,,
140,The Cabin in the Woods,Horror,0,2011,7,,
141,Spectre,Action. Adventure. Thriller,0,2015,6.8,,
142,Pokémon Detective Pikachu,Adventure. Comedy. Family,0,2019,6.6,,
143,Journey to China: The Mystery of Iron Mask,Action. Adventure. Fantasy,0,2019,4.6,,
144,World War Z,Action. Adventure. Horror,0,2013,7,,
145,A Beautiful Day in the Neighborhood,Biography. Drama,0,2019,7.3,,
146,Us,Horror. Mystery. Thriller,0,2019,6.9,,
147,Rogue One: A Star Wars Story,Action. Adventure. Sci-Fi,0,2016,7.8,,
148,Anna,Action. Adventure. Thriller,0,2019,6.6,,
149,Scott Pilgrim vs. the World,Action. Comedy. Fantasy,0,2010,7.5,,
150,The Town,Crime. Drama. Thriller,0,2010,7.5,,
151,Lady and the Tramp,Adventure. Comedy. Drama,0,2019,6.3,,
152,The Death of Stalin,Comedy. Drama. History,0,2017,7.2,,
153,Ready Player One,Action. Adventure. Sci-Fi,0,2018,7.5,,
154,Badland,Western,0,2019,5.7,,
155,Murder on the Orient Express,Crime. Drama. Mystery,0,2017,6.5,,
156,Her,Drama. Romance. Sci-Fi,0,2013,8,,
157,Coco,Animation. Adventure. Family,0,2017,8.4,,
158,Spider-Man: Homecoming,Action. Adventure. Sci-Fi,0,2017,7.4,,
159,Pirates of the Caribbean: Dead Men Tell No Tales,Action. Adventure. Fantasy,0,2017,6.6,,
160,Room,Drama. Thriller,0,2015,8.1,,
161,Whiplash,Drama. Music,0,2014,8.5,,
162,Three Billboards Outside Ebbing. Missouri,Comedy. Crime. Drama,0,2017,8.2,,
163,Pitch Perfect,Comedy. Music. Romance,0,2012,7.2,,
164,Get Out,Horror. Mystery. Thriller,0,2017,7.7,,
165,Killing Them Softly,Crime. Drama. Thriller,0,2012,6.2,,
166,Rambo: Last Blood,Action. Adventure. Thriller,0,2019,6.2,,
167,Zootopia,Animation. Adventure. Comedy,0,2016,8,,
168,21 Bridges,Action. Crime. Drama,0,2019,6.6,,
169,Beauty and the Beast,Family. Fantasy. Musical,0,2017,7.1,,
170,Justice League,Action. Adventure. Fantasy,0,2017,6.4,,
171,The Kitchen,Action. Crime. Drama,0,2019,5.4,,
172,Captain America: Civil War,Action. Adventure. Sci-Fi,0,2016,7.8,,
173,Fantastic Beasts: The Crimes of Grindelwald,Adventure. Family. Fantasy,0,2018,6.6,,
174,Star Wars: Episode VII - The Force Awakens,Action. Adventure. Sci-Fi,0,2015,7.9,,
175,Long Shot,Comedy. Romance,0,2019,6.9,,
176,War for the Planet of the Apes,Action. Adventure. Drama,0,2017,7.4,,
177,Frozen,Animation. Adventure. Comedy,0,2013,7.5,,
178,47 Meters Down: Uncaged,Adventure. Drama. Horror,0,2019,5,,
179,The Shape of Water,Adventure. Drama. Fantasy,0,2017,7.3,,
180,Crazy. Stupid. Love.,Comedy. Drama. Romance,0,2011,7.4,,
181,Venom,Action. Sci-Fi. Thriller,0,2018,6.7,,
182,Color Out of Space,Horror. Sci-Fi,0,2019,6.2,,
183,The Nice Guys,Action. Comedy. Crime,0,2016,7.4,,
184,Togo,Adventure. Biography. Drama,0,2019,8.1,,
185,Instant Family,Comedy. Drama,0,2018,7.3,,
186,The Revenant,Action. Adventure. Biography,0,2015,8,,
187,I. Tonya,Biography. Comedy. Drama,0,2017,7.5,,
188,A Star Is Born,Drama. Music. Romance,0,2018,7.7,,
189,Argo,Biography. Drama. Thriller,0,2012,7.7,,
190,The Grand Budapest Hotel,Adventure. Comedy. Crime,0,2014,8.1,,
191,El Camino: A Breaking Bad Movie,Action. Crime. Drama,0,2019,7.4,,
192,BlacKkKlansman,Biography. Crime. Drama,0,2018,7.5,,
193,Uncorked,Drama,0,2020,6.3,,
194,Maleficent: Mistress of Evil,Adventure. Family. Fantasy,0,2019,6.7,,
195,Hacksaw Ridge,Biography. Drama. History,0,2016,8.1,,
196,The Grudge,Horror. Mystery,0,2020,4.2,,
197,Les Misérables,Drama. History. Musical,0,2012,7.6,,
198,Brightburn,Drama. Horror. Mystery,0,2019,6.1,,
199,Gemini Man,Action. Drama. Sci-Fi,0,2019,5.7,,
200,The Last Thing He Wanted,Crime. Drama. Mystery,0,2020,4.2,,
201,Logan,Action. Drama. Sci-Fi,0,2017,8.1,,
202,The Hateful Eight,Crime. Drama. Mystery,0,2015,7.8,,
203,The Main Event,Action. Comedy. Family,0,2020,4.7,,
204,Kingsman: The Secret Service,Action. Adventure. Comedy,0,2014,7.7,,
205,What Happened to Monday,Action. Crime. Drama,0,2017,6.9,,
206,Olympus Has Fallen,Action. Thriller,0,2013,6.5,,
207,Honey Boy,Drama,0,2019,7.3,,
208,Iron Man Three,Action. Adventure. Sci-Fi,0,2013,7.2,,
209,Me Before You,Drama. Romance,0,2016,7.4,,
210,Wonder,Drama. Family,0,2017,8,,
211,Fractured,Mystery. Thriller,0,2019,6.3,,
212,Thor: The Dark World,Action. Adventure. Fantasy,0,2013,6.9,,
213,Game Night,Action. Comedy. Crime,0,2018,6.9,,
214,All the Bright Places,Drama. Romance,0,2020,6.5,,
215,Bird Box,Drama. Horror. Sci-Fi,0,2018,6.6,,
216,The Hobbit: An Unexpected Journey,Adventure. Family. Fantasy,0,2012,7.8,,
217,Flight,Drama. Thriller,0,2012,7.3,,
218,Tigertail,Drama,0,2020,6.6,,
219,Blinded by the Light,Comedy. Drama. Music,0,2019,6.9,,
220,Okja,Action. Adventure. Drama,0,2017,7.3,,
221,Inside Out,Animation. Adventure. Comedy,0,2015,8.2,,
222,Five Feet Apart,Drama. Romance,0,2019,7.2,,
223,The VVitch: A New-England Folktale,Drama. Horror. Mystery,0,2015,6.9,,
224,The Peanut Butter Falcon,Adventure. Comedy. Drama,0,2019,7.6,,
225,Wonder Woman,Action. Adventure. Fantasy,0,2017,7.4,,
226,La La Land,Comedy. Drama. Music,0,2016,8,,
227,Triple Frontier,Action. Adventure. Crime,0,2019,6.4,,
228,Motherless Brooklyn,Crime. Drama. Mystery,0,2019,6.8,,
229,Sicario,Action. Crime. Drama,0,2015,7.6,,
230,Mary Poppins Returns,Comedy. Family. Fantasy,0,2018,6.7,,
231,Captain America: The Winter Soldier,Action. Adventure. Sci-Fi,0,2014,7.7,,
232,Salt,Action. Mystery. Thriller,0,2010,6.4,,
233,Freaks,Drama. Mystery. Sci-Fi,0,2018,6.7,,
234,Tangled,Animation. Adventure. Comedy,0,2010,7.7,,
235,Good Time,Crime. Drama. Thriller,0,2017,7.4,,
236,Ant-Man,Action. Adventure. Comedy,0,2015,7.3,,
237,Harry Potter and the Deathly Hallows: Part 1,Adventure. Family. Fantasy,0,2010,7.7,,
238,Moonlight,Drama,0,2016,7.4,,
239,The Girl with the Dragon Tattoo,Crime. Drama. Mystery,0,2011,7.8,,
240,Drive,Crime. Drama,0,2011,7.8,,
241,The Meg,Action. Horror. Sci-Fi,0,2018,5.7,,
242,The Great Gatsby,Drama. Romance,0,2013,7.2,,
243,Iron Man 2,Action. Adventure. Sci-Fi,0,2010,7,,
244,Child's Play,Horror. Sci-Fi,0,2019,5.8,,
245,Fifty Shades Freed,Drama. Romance. Thriller,0,2018,4.5,,
246,Focus,Comedy. Crime. Drama,0,2015,6.6,,
247,Mother!,Drama. Horror. Mystery,0,2017,6.6,,
248,Jurassic World: Fallen Kingdom,Action. Adventure. Sci-Fi,0,2018,6.2,,
249,Arrival,Drama. Mystery. Sci-Fi,0,2016,7.9,,
250,John Wick: Chapter 2,Action. Crime. Thriller,0,2017,7.5,,
251,The Current War,Biography. Drama. History,0,2017,6.5,,
252,Doctor Strange,Action. Adventure. Fantasy,0,2016,7.5,,
253,Crawl,Drama. Horror. Thriller,0,2019,6.2,,
254,The Favourite,Biography. Comedy. Drama,0,2018,7.6,,
255,Crazy Rich Asians,Comedy. Drama. Romance,0,2018,6.9,,
256,The Purge,Horror. Thriller,0,2013,5.7,,
257,Ant-Man and the Wasp,Action. Adventure. Comedy,0,2018,7.1,,
258,Logan Lucky,Comedy. Crime. Drama,0,2017,7,,
259,Hidden Figures,Biography. Drama. History,0,2016,7.8,,
260,Alien: Covenant,Horror. Sci-Fi. Thriller,0,2017,6.4,,
261,xXx: Return of Xander Cage,Action. Adventure. Thriller,0,2017,5.2,,
262,The Florida Project,Drama,0,2017,7.6,,
263,A Hidden Life,Biography. Drama. Romance,0,2019,7.5,,
264,The Dead Don't Die,Comedy. Fantasy. Horror,0,2019,5.5,,
265,Swallow,Drama. Horror. Thriller,0,2019,6.3,,
266,X-Men: Apocalypse,Action. Adventure. Sci-Fi,0,2016,6.9,,
267,Tomb Raider,Action. Adventure. Fantasy,0,2018,6.3,,
268,A Monster Calls,Animation. Drama. Fantasy,0,2016,7.5,,
269,Birdman or (The Unexpected Virtue of Ignorance),Comedy. Drama,0,2014,7.7,,
270,Glass,Drama. Sci-Fi. Thriller,0,2019,6.7,,
271,Extremely Wicked. Shockingly Evil and Vile,Biography. Crime. Drama,0,2019,6.6,,
272,Man of Steel,Action. Adventure. Sci-Fi,0,2013,7,,
273,Bull,Drama,0,2019,7.1,,
274,The Secret Life of Pets 2,Animation. Adventure. Comedy,0,2019,6.5,,
275,King Arthur: Legend of the Sword,Action. Adventure. Drama,0,2017,6.7,,
276,Downhill,Comedy. Drama,0,2020,4.8,,
277,London Has Fallen,Action. Thriller,0,2016,5.9,,
278,Ocean's 8,Action. Comedy. Crime,0,2018,6.2,,
279,The Ballad of Buster Scruggs,Comedy. Drama. Musical,0,2018,7.3,,
280,Murder Mystery,Action. Comedy. Crime,0,2019,6,,
281,Silver Linings Playbook,Comedy. Drama. Romance,0,2012,7.7,,
282,The Other Guys,Action. Comedy. Crime,0,2010,6.6,,
283,Capharnaüm,Drama,0,2018,8.4,,
284,Cinderella,Drama. Family. Fantasy,0,2015,6.9,,
285,Mamma Mia! Here We Go Again,Comedy. Musical. Romance,0,2018,6.7,,
286,Transformers: The Last Knight,Action. Adventure. Sci-Fi,0,2017,5.2,,
287,Upgrade,Action. Horror. Sci-Fi,0,2018,7.5,,
288,Captain Fantastic,Comedy. Drama,0,2016,7.9,,
289,The Last Airbender,Action. Adventure. Family,0,2010,4.1,,
290,Warrior,Drama. Sport,0,2011,8.2,,
291,The Man from U.N.C.L.E.,Action. Adventure. Comedy,0,2015,7.3,,
292,Atomic Blonde,Action. Thriller,0,2017,6.7,,
293,The Hustle,Comedy. Crime,0,2019,5.4,,
294,Downton Abbey,Drama. Romance,0,2019,7.4,,
295,The Spy Who Dumped Me,Action. Adventure. Comedy,0,2018,6,,
296,Edge of Tomorrow,Action. Adventure. Sci-Fi,0,2014,7.9,,
297,Abominable,Animation. Adventure. Comedy,0,2019,7,,
298,Incredibles 2,Animation. Action. Adventure,0,2018,7.6,,
299,The Theory of Everything,Biography. Drama. Romance,0,2014,7.7,,
300,Jurassic World,Action. Adventure. Sci-Fi,0,2015,7,,
301,Darkest Hour,Biography. Drama. History,0,2017,7.4,,
302,12 Years a Slave,Biography. Drama. History,0,2013,8.1,,
303,Sing,Animation. Comedy. Family,0,2016,7.1,,
304,Furious 7,Action. Adventure. Crime,0,2015,7.2,,
305,A Rainy Day in New York,Comedy. Romance,0,2019,6.6,,
306,Spotlight,Biography. Crime. Drama,0,2015,8.1,,
307,Fantasy Island,Adventure. Fantasy. Horror,0,2020,4.7,,
308,Greater,Biography. Family. Sport,0,2016,7.2,,
309,Black Swan,Drama. Thriller,0,2010,8,,
310,Night Hunter,Action. Crime. Drama,0,2018,5.8,,
311,Bad Times at the El Royale,Crime. Drama. Mystery,0,2018,7.1,,
312,Assassin's Creed,Action. Adventure. Sci-Fi,0,2016,5.7,,
313,The Predator,Action. Adventure. Sci-Fi,0,2018,5.4,,
314,Fantastic Beasts and Where to Find Them,Adventure. Family. Fantasy,0,2016,7.3,,
315,The Upside,Comedy. Drama,0,2017,6.9,,
316,Haunt,Horror. Thriller,0,2019,6.3,,
317,Jack Reacher,Action. Thriller,0,2012,7,,
318,The Hunger Games: Catching Fire,Action. Adventure. Sci-Fi,0,2013,7.5,,
319,The King's Speech,Biography. Drama. History,0,2010,8,,
320,Shooting Heroin,Action. Drama. Thriller,0,2020,7.5,,
321,Phantom Thread,Drama. Romance,0,2017,7.5,,
322,Divergent,Action. Adventure. Mystery,0,2014,6.7,,
323,Star Trek Beyond,Action. Adventure. Sci-Fi,0,2016,7.1,,
324,Fantastic Four,Action. Adventure. Sci-Fi,0,2015,4.3,,
325,The Gift,Drama. Mystery. Thriller,0,2015,7,,
326,The Master,Drama,0,2012,7.2,,
327,Hellboy,Action. Adventure. Fantasy,0,2019,5.2,,
328,The Post,Biography. Drama. History,0,2017,7.2,,
329,Unbroken,Biography. Drama. Sport,0,2014,7.2,,
330,Homefront,Action. Thriller,0,2013,6.5,,
331,Resistance,Biography. Drama. History,0,2020,5.8,,
332,Fifty Shades Darker,Drama. Romance,0,2017,4.6,,
333,Kingsman: The Golden Circle,Action. Adventure. Comedy,0,2017,6.7,,
334,Valerian and the City of a Thousand Planets,Action. Adventure. Family,0,2017,6.5,,
335,The Aeronauts,Action. Adventure. Biography,0,2019,6.6,,
336,Nightcrawler,Crime. Drama. Thriller,0,2014,7.9,,
337,The Martian,Adventure. Drama. Sci-Fi,0,2015,8,,
338,Stargirl,Comedy. Drama. Romance,0,2020,6.2,,
339,The Farewell,Comedy. Drama,0,2019,7.6,,
340,The Invitation,Drama. Horror. Mystery,0,2015,6.6,,
341,Scary Stories to Tell in the Dark,Adventure. Horror. Mystery,0,2019,6.2,,
342,Bumblebee,Action. Adventure. Sci-Fi,0,2018,6.8,,
343,Bridesmaids,Comedy. Romance,0,2011,6.8,,
344,The Foreigner,Action. Thriller,0,2017,7,,
345,Overlord,Action. Adventure. Horror,0,2018,6.6,,
346,Sucker Punch,Action. Adventure. Fantasy,0,2011,6,,
347,Pirates of the Caribbean: On Stranger Tides,Action. Adventure. Fantasy,0,2011,6.6,,
348,Bad Education,Comedy. Drama,0,2019,7.3,,
349,Cloud Atlas,Action. Drama. Mystery,0,2012,7.4,,
350,Suspiria,Fantasy. Horror. Mystery,0,2018,6.8,,
351,The Gambler,Crime. Drama. Thriller,0,2014,6,,
352,Pet Sematary,Horror. Mystery. Thriller,0,2019,5.7,,
353,Legend,Biography. Crime. Drama,0,2015,6.9,,
354,The Accountant,Action. Crime. Drama,0,2016,7.3,,
355,Polar,Action. Crime. Drama,0,2019,6.3,,
356,The Laundromat,Comedy. Crime. Drama,0,2019,6.3,,
357,Source Code,Action. Drama. Mystery,0,2011,7.5,,
358,Split,Horror. Thriller,0,2016,7.3,,
359,The Postcard Killings,Crime. Drama. Mystery,0,2020,5.6,,
360,Moneyball,Biography. Drama. Sport,0,2011,7.6,,
361,Fury,Action. Drama. War,0,2014,7.6,,
362,Vice,Biography. Comedy. Drama,0,2018,7.2,,
363,Dark Light,Horror. Sci-Fi. Thriller,0,2019,4.1,,
364,Sausage Party,Animation. Adventure. Comedy,0,2016,6.1,,
365,The Magnificent Seven,Action. Adventure. Western,0,2016,6.9,,
366,The Imitation Game,Biography. Drama. Thriller,0,2014,8,,
367,The Mule,Crime. Drama. Thriller,0,2018,7,,
368,Den of Thieves,Action. Crime. Drama,0,2018,7,,
369,War Dogs,Biography. Comedy. Crime,0,2016,7.1,,
370,Mary Queen of Scots,Biography. Drama. History,0,2018,6.3,,
371,Jason Bourne,Action. Thriller,0,2016,6.6,,
372,13 Hours,Action. Drama. History,0,2016,7.3,,
373,Impractical Jokers: The Movie,Comedy,0,2020,6.2,,
374,The Help,Drama,0,2011,8.1,,
375,The Conjuring,Horror. Mystery. Thriller,0,2013,7.5,,
376,Judy,Biography. Drama. Romance,0,2019,6.9,,
377,The Professor and the Madman,Biography. Drama,0,2019,7.3,,
378,She's Out of My League,Comedy. Romance,0,2010,6.4,,
379,Mary Magdalene,Biography. Drama,0,2018,5.8,,
380,Ralph Breaks the Internet,Animation. Adventure. Comedy,0,2018,7.1,,
381,Escape Room,Action. Adventure. Horror,0,2019,6.3,,
382,Official Secrets,Biography. Crime. Drama,0,2019,7.3,,
383,Mission: Impossible - Rogue Nation,Action. Adventure. Thriller,0,2015,7.4,,
384,Chef,Adventure. Comedy. Drama,0,2014,7.3,,
385,Ma,Horror. Mystery. Thriller,0,2019,5.6,,
386,Nocturnal Animals,Drama. Thriller,0,2016,7.5,,
387,Troop Zero,Comedy. Drama. Family,0,2019,6.9,,
388,The Twilight Saga: Breaking Dawn - Part 2,Adventure. Drama. Fantasy,0,2012,5.5,,
389,Rush,Biography. Drama. Sport,0,2013,8.1,,
390,True Grit,Drama. Western,0,2010,7.6,,
391,Queen & Slim,Crime. Drama. Romance,0,2019,7,,
392,X-Men: Days of Future Past,Action. Adventure. Sci-Fi,0,2014,8,,
393,Batman v Superman: Dawn of Justice,Action. Adventure. Sci-Fi,0,2016,6.5,,
394,Mile 22,Action. Thriller,0,2018,6.1,,
395,In the Tall Grass,Drama. Horror. Mystery,0,2019,5.4,,
